Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev	Num
52=	Ko Lyn Cheang		Yale C	78	78	80	84	80	78	81	83	83	725	80.56	2.22	9
52=	Lorenzo Pinasco		Yale C	78	79	82	84	80	77	81	82	82	725	80.56	2.11	9
52=	David Edimo		Yale E	77	81	83	77	80	83	80	82	82	725	80.56	2.17	9
59=	Zachary Penman-Chambers		Auckland A	77	83	82	80	79	85	81	78	79	724	80.44	2.41	9
59=	Connor Seddon		Otago A	78	79	78	81	86	82	81	80	79	724	80.44	2.36	9
59=	Jamie Johnson		Oxford D	80	79	80	81	81	84	80	78	81	724	80.44	1.57	9
59=	Madeleine Bosler		Sydney B	80	80	80	79	80	82	78	86	79	724	80.44	2.22	9
59=	Sourodip Paul	ESL	IBA Dhaka A	76	77	83	80	77	83	81	83	84	724	80.44	2.91	9
59=	Martha Muir		Durham A	78	80	81	81	84	80	79	79	82	724	80.44	1.71	9
65=	Sharuka Wikramanayake		Auckland B	79	75	80	80	81	83	82	84	79	723	80.33	2.49	9
65=	Shakked Noy		Vic Wellington A	79	83	78	81	82	84	79	79	78	723	80.33	2.11	9
65=	An-Lanh Le		Princeton A	80	82	80	80	80	83	78	82	78	723	80.33	1.63	9
65=	Deborah Wong		Hart House C	82	80	78	80	77	79	82	82	83	723	80.33	1.94	9
65=	Ron Leizrowice		Bristol A	81	79	78	79	84	82	78	81	81	723	80.33	1.89	9
70=	Sweeney Hughes		Sydney C	77	82	81	79	83	81	78	80	81	722	80.22	1.81	9
70=	Greg Weaving		Princeton D	79	79	82	80	83	79	80	78	82	722	80.22	1.62	9
70=	Braedon Lehman		Berlin A	78	80	82	79	82	82	80	80	79	722	80.22	1.40	9
70=	Coen Armstrong		Stanford B	78	84	80	78	80	79	82	80	81	722	80.22	1.81	9
70=	Vignesh Valliyur		Pennsylvania A	80	78	80	81	80	83	80	79	81	722	80.22	1.31	9
70=	En Qi Teo		NUS A	81	78	79	81	80	78	80	83	82	722	80.22	1.62	9
76=	Brendan Winters		ANU B	81	83	83	81	78	77	81	76	81	721	80.11	2.38	9
76=	Chris Pang		Hart House B	81	80	84	79	82	78	81	75	81	721	80.11	2.42	9
76=	Kuberan Hansrajh Kumaresan	ESL	Taylor&#x27;s B	79	78	83	83	79	82	79	85	73	721	80.11	3.38	9
76=	Benjamin Anderson		Stanford C	78	82	81	78	77	80	81	82	82	721	80.11	1.85	9
76=	Jason Lee	ESL	Stanford D	79	81	81	83	81	79	78	81	78	721	80.11	1.59	9
81=	Mark Rothery		Sydney F	86	76	83	79	81	77	82	82	74	720	80.00	3.59	9
81=	Taran Molloy		Vic Wellington A	80	83	78	80	80	82	79	79	79	720	80.00	1.49	9
81=	Daniel Ju		Princeton D	78	79	82	80	81	79	81	79	81	720	80.00	1.25	9
81=	Marc-Andre Schulz	ESL	Berlin A	76	80	82	78	82	84	80	78	80	720	80.00	2.31	9
81=	Timothy Lo		Bristol A	83	79	79	77	83	80	78	80	81	720	80.00	1.94	9
81=	Jack Kelly		Yale B	79	82	81	79	82	77	81	83	76	720	80.00	2.26	9
87=	Preston Johnston		Princeton B	78	79	80	77	82	82	80	80	81	719	79.89	1.59	9
87=	Han Goh		Cambridge B	83	78	80	79	83	79	80	82	75	719	79.89	2.42	9
87=	Suzanne Elliott		Glasgow A	82	80	79	80	83	78	78	80	79	719	79.89	1.59	9
87=	Paloma O&#x27;Connor		Harvard C	80	80	84	77	81	75	82	79	81	719	79.89	2.51	9
87=	Toni Mathers		ANU A	78	79	83	77	81	78	82	84	77	719	79.89	2.51	9
87=	Bharath Gururagavendran		Christ A	78	84	79	80	79	78	76	82	83	719	79.89	2.47	9
93=	Jacob Silcoff		McGill B	80	78	77	81	79	81	82	80	80	718	79.78	1.47	9
93=	Josh Ashworth		LSE C	81	77	76	79	80	80	82	83	80	718	79.78	2.10	9
93=	Navin Kariyawasam		Hart House A	78	82	77	78	83	83	79	76	82	718	79.78	2.57	9
93=	Vedika Walia	ESL	Symbiosis A	80	78	81	80	83	78	76	83	79	718	79.78	2.20	9
93=	Tristan Hurree		Queensland A	78	78	84	82	80	76	82	79	79	718	79.78	2.35	9
